TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030101.000000,0.473783,-0.004518,-18.852800,2.812280,0.469756,1.000000,1.000000,1.000000
20030102.000000,0.518886,-0.222254,-12.462400,2.721230,0.297343,0.937500,1.000000,1.000000
20030103.000000,0.616222,-0.200983,-4.301030,1.645800,0.415240,1.000000,1.000000,1.000000
20030104.000000,0.625747,-0.217513,3.482780,5.262320,0.408234,1.000000,1.000000,0.979167
20030105.000000,0.522956,-0.126649,6.253210,2.636350,0.397360,1.000000,1.000000,1.000000
20030106.000000,0.567244,-0.235759,1.473940,7.207050,0.331794,1.000000,1.000000,1.000000
20030107.000000,0.350943,-0.020518,-19.962600,2.140780,0.330551,1.000000,1.000000,1.000000
20030108.000000,0.468215,0.050351,-34.002300,1.610940,0.518565,1.000000,1.000000,1.000000
20030109.000000,0.458586,0.051506,-39.975400,2.875470,0.510092,1.000000,1.000000,1.000000
20030110.000000,0.403319,-0.171558,20.742000,5.322610,0.237862,1.000000,1.000000,1.000000
20030111.000000,0.306316,-0.119488,24.188400,2.732830,0.189785,1.000000,1.000000,1.000000
20030112.000000,0.300000,-0.047381,47.323800,2.767490,0.253808,1.000000,1.000000,1.000000
20030113.000000,0.309456,-0.046039,53.767900,3.800420,0.272471,1.000000,1.000000,1.000000
20030114.000000,0.406584,-0.166531,17.273500,2.405910,0.242910,1.000000,1.000000,1.000000
20030115.000000,0.292241,-0.070741,39.959500,2.727930,0.223874,1.000000,1.000000,1.000000
20030116.000000,0.282496,-0.004340,-0.889930,1.002870,0.279866,1.000000,1.000000,1.000000
20030117.000000,0.518708,-0.336587,67.586100,2.794970,0.182429,1.000000,1.000000,1.000000
20030118.000000,0.225456,0.095384,1.005280,0.802698,0.322953,1.000000,1.000000,1.000000
20030119.000000,0.319377,0.067225,4.290130,1.567680,0.390087,1.000000,1.000000,1.000000
20030120.000000,0.289005,-0.013065,27.397800,5.089600,0.276895,1.000000,1.000000,1.000000
20030121.000000,0.378132,-0.194052,25.787200,3.232330,0.184081,1.000000,1.000000,1.000000
20030122.000000,0.432171,-0.300217,36.972000,3.288280,0.131955,1.000000,1.000000,1.000000
20030123.000000,0.311306,-0.201823,-16.090100,2.141310,0.109483,1.000000,1.000000,1.000000
20030124.000000,0.345778,-0.184153,18.625100,2.797270,0.160758,1.000000,1.000000,1.000000
20030125.000000,0.325863,-0.054511,7.619620,1.479260,0.239219,1.000000,1.000000,1.000000
20030126.000000,0.433068,-0.192110,17.251000,4.487130,0.200235,1.000000,1.000000,1.000000
20030127.000000,0.150825,-0.078541,64.743700,4.041660,0.062723,0.979167,1.000000,1.000000
20030128.000000,0.320811,-0.075487,28.598100,3.082830,0.219869,1.000000,1.000000,1.000000
20030129.000000,0.504781,-0.199658,56.283800,5.047320,0.243813,0.979167,0.979167,0.979167
20030130.000000,0.214850,-0.118757,75.305800,4.976540,0.095489,0.666667,0.854167,0.854167
20030131.000000,0.337724,-0.069514,20.992000,3.988510,0.250056,0.979167,1.000000,1.000000
20030201.000000,0.343916,0.079463,29.759800,3.050300,0.352114,1.000000,1.000000,1.000000
20030202.000000,0.634655,-0.247984,68.167900,5.322660,0.357580,1.000000,1.000000,1.000000
20030203.000000,0.039905,0.353506,8.757990,0.942818,0.366803,0.979167,1.000000,1.000000
20030204.000000,0.350663,0.069235,24.073800,3.476760,0.393797,1.000000,1.000000,1.000000
20030205.000000,0.318150,-0.131747,45.222200,4.755490,0.186223,1.000000,1.000000,1.000000
20030206.000000,0.246752,0.002840,32.386300,3.176780,0.252009,0.979167,0.979167,1.000000
20030207.000000,0.322017,-0.100742,65.407600,5.533120,0.220163,1.000000,1.000000,0.979167
20030208.000000,0.190527,0.011986,64.448900,4.133870,0.201553,1.000000,1.000000,1.000000
20030209.000000,0.345797,-0.092737,74.543600,5.213060,0.249381,1.000000,1.000000,1.000000
20030210.000000,0.357167,-0.191405,-9.434950,0.947993,0.165383,0.958333,1.000000,0.979167
20030211.000000,0.087601,-0.054753,59.064500,2.033780,0.028568,1.000000,1.000000,1.000000
20030212.000000,0.201596,-0.191537,40.827100,4.859550,0.006352,1.000000,1.000000,1.000000
20030213.000000,0.216944,-0.197211,58.037000,2.810470,0.011896,1.000000,1.000000,1.000000
20030214.000000,0.421688,-0.357196,67.852300,3.724760,0.046645,0.958333,1.000000,1.000000
20030215.000000,0.116641,-0.070770,45.489800,2.339960,0.039132,1.000000,1.000000,1.000000
20030216.000000,0.142770,-0.089031,25.184900,2.716410,0.043424,1.000000,1.000000,1.000000
20030217.000000,-0.026054,0.221899,-4.949810,1.686290,0.117588,0.979167,1.000000,1.000000
20030218.000000,0.130830,0.178140,7.796560,1.925610,0.227032,0.937500,0.958333,0.958333
20030219.000000,0.454254,-0.099716,-44.406600,1.467900,0.354537,0.979167,0.979167,0.979167
20030220.000000,0.389364,-0.088745,54.492000,5.522670,0.310552,0.875000,1.000000,1.000000
20030221.000000,0.395549,-0.086856,47.989400,4.347790,0.308694,0.979167,1.000000,0.979167
20030222.000000,0.454264,-0.209743,-29.280800,1.859290,0.244521,0.958333,1.000000,1.000000
20030223.000000,0.394012,-0.341805,33.710200,3.372800,0.083848,0.666667,0.916667,0.854167
20030224.000000,0.598967,-0.633114,23.884100,3.048060,0.028306,0.895833,0.916667,0.916667
20030225.000000,0.585821,-0.653229,63.338200,3.774320,0.002848,0.875000,0.895833,0.854167
20030226.000000,0.531790,-0.559525,83.929300,5.747700,0.005681,0.833333,0.958333,0.916667
20030227.000000,1.357200,-1.382510,63.696800,4.401510,0.021685,0.875000,1.000000,0.958333
20030228.000000,0.161711,-0.201295,27.636800,2.842730,0.044410,0.895833,1.000000,1.000000
20030301.000000,0.440520,-0.367144,61.354600,3.457290,0.073694,0.979167,1.000000,1.000000
20030302.000000,0.488352,-0.422212,32.149100,2.577610,0.084240,0.958333,1.000000,1.000000
20030303.000000,0.555639,-0.572404,144.351000,2.182920,0.019783,1.000000,1.000000,1.000000
20030304.000000,0.369360,-0.009416,58.185100,5.181130,0.368308,0.916667,0.979167,1.000000
20030305.000000,0.231886,0.215672,47.350300,1.888420,0.448551,1.000000,1.000000,1.000000
20030306.000000,0.322022,0.015514,71.634200,4.820190,0.336628,0.958333,0.979167,1.000000
20030307.000000,0.495156,0.018030,105.072000,3.426010,0.527306,0.979167,1.000000,1.000000
20030308.000000,0.784926,0.064279,60.884900,2.699570,0.872682,1.000000,1.000000,1.000000
20030309.000000,0.623235,-0.372571,182.665000,-4.637390,0.251411,1.000000,1.000000,1.000000
20030310.000000,0.382402,-0.174931,104.843000,-2.727350,0.207471,1.000000,1.000000,1.000000
20030311.000000,0.131865,0.203057,62.248900,-0.938418,0.337760,0.979167,1.000000,1.000000
20030312.000000,0.678571,-0.133540,92.216400,-1.831490,0.532843,1.000000,1.000000,1.000000
20030313.000000,0.335340,-0.078511,95.892900,-3.150030,0.295075,0.875000,1.000000,1.000000
20030314.000000,0.291321,-0.015061,112.267000,-2.067890,0.284069,0.979167,1.000000,1.000000
20030315.000000,0.729144,-0.268076,113.139000,-1.266540,0.492899,0.979167,1.000000,1.000000
20030316.000000,0.784888,-0.207042,114.024000,0.501747,0.583104,1.000000,1.000000,1.000000
20030317.000000,0.949356,-0.346892,88.617900,-0.386869,0.617530,0.875000,1.000000,1.000000
20030318.000000,0.481520,0.049147,66.630900,1.350570,0.527143,1.000000,1.000000,1.000000
20030319.000000,0.355331,0.070808,102.962000,1.800430,0.444766,1.000000,1.000000,1.000000
20030320.000000,0.210631,0.281780,0.356720,1.401990,0.493915,1.000000,1.000000,1.000000
20030321.000000,0.129388,0.388428,7.158040,2.206190,0.511917,1.000000,1.000000,1.000000
20030322.000000,0.065896,0.355891,-7.545250,2.663690,0.435150,1.000000,1.000000,1.000000
20030323.000000,0.242053,0.155595,47.225300,7.514280,0.444033,0.979167,1.000000,1.000000
20030324.000000,0.467031,0.094331,111.617000,9.205540,0.573283,1.000000,1.000000,1.000000
20030325.000000,0.430432,0.317379,-9.267840,3.538540,0.744435,1.000000,1.000000,1.000000
20030326.000000,-0.038342,0.701129,95.380200,13.886300,0.669682,1.000000,1.000000,1.000000
20030327.000000,0.056719,0.685383,76.141500,7.037850,0.758038,1.000000,1.000000,1.000000
20030328.000000,0.177754,1.108250,68.810300,9.015260,1.283080,0.958333,1.000000,1.000000
20030329.000000,0.482563,0.379151,7.196510,8.380030,0.861444,1.000000,1.000000,1.000000
20030330.000000,0.992250,-0.129323,83.256900,11.814500,0.864246,1.000000,1.000000,1.000000
20030331.000000,0.619526,0.207123,108.001000,9.482650,0.826649,1.000000,1.000000,1.000000
20030401.000000,0.090070,1.502350,47.726200,9.582790,1.553970,0.916667,1.000000,1.000000
20030402.000000,-0.100779,1.535020,80.838200,9.875920,1.434240,0.979167,0.979167,1.000000
20030403.000000,0.974385,-0.024391,-14.945800,3.898430,0.949993,1.000000,1.000000,1.000000
20030404.000000,0.962547,-0.185160,-18.490900,3.321460,0.777387,1.000000,1.000000,1.000000
20030405.000000,0.823008,-0.067393,-19.619400,3.184460,0.755615,1.000000,1.000000,1.000000
20030406.000000,0.039274,0.496600,109.338000,10.022200,0.542751,0.812500,0.833333,0.812500
20030407.000000,0.610548,-0.017496,-24.612700,1.264680,0.593052,1.000000,1.000000,1.000000
20030408.000000,0.460597,0.182769,-34.809000,0.438989,0.643367,1.000000,1.000000,1.000000
20030409.000000,-0.049819,0.758840,72.303900,6.875250,0.716584,0.854167,0.895833,0.958333
20030410.000000,-0.812900,1.695250,117.904000,11.991900,0.882349,0.937500,0.979167,0.979167
20030411.000000,-0.627308,1.696360,84.806100,4.881930,1.080300,0.979167,1.000000,1.000000
20030412.000000,-0.400830,1.516950,124.354000,19.706700,1.231870,1.000000,1.000000,1.000000
20030413.000000,-0.726533,1.838870,179.927000,11.249200,1.112330,0.958333,1.000000,1.000000
20030414.000000,-1.263250,3.481170,81.617600,21.000400,2.273940,0.979167,0.979167,0.979167
20030415.000000,0.049184,3.670290,50.289300,40.318600,3.719470,1.000000,1.000000,1.000000
20030416.000000,-1.493980,3.673780,84.287500,11.603500,2.349440,1.000000,1.000000,1.000000
20030417.000000,-0.329049,1.708510,65.292000,3.554170,1.377540,1.000000,1.000000,1.000000
20030418.000000,-0.602469,2.708950,9.975600,4.715650,2.142840,1.000000,1.000000,1.000000
20030419.000000,-1.339830,4.062030,73.156900,12.529200,2.739040,1.000000,1.000000,1.000000
20030420.000000,-2.101210,5.270490,81.564100,24.706500,3.189270,1.000000,1.000000,1.000000
20030421.000000,-1.420280,4.201110,53.973800,17.382800,2.843160,0.979167,1.000000,1.000000
20030422.000000,0.199719,1.574560,7.712410,3.903400,1.731040,1.000000,1.000000,1.000000
20030423.000000,-1.892160,3.499360,122.599000,16.751200,1.609390,0.916667,0.895833,0.916667
20030424.000000,-2.556500,4.472690,89.263300,20.567500,1.901400,0.895833,0.958333,1.000000
20030425.000000,-1.402280,3.938730,65.831700,16.731800,2.516380,0.937500,1.000000,1.000000
20030426.000000,-2.712080,5.370560,114.121000,30.612100,2.683160,1.000000,1.000000,1.000000
20030427.000000,-2.790570,5.190370,130.018000,31.875500,2.371440,0.937500,1.000000,1.000000
20030428.000000,-1.812470,5.509440,93.737800,39.245900,3.697440,1.000000,1.000000,1.000000
20030429.000000,-3.413880,5.877780,127.714000,28.687900,2.566910,1.000000,1.000000,1.000000
20030430.000000,-0.197759,2.270950,-3.474970,8.883150,2.144130,1.000000,1.000000,1.000000
20030501.000000,-2.012340,4.991980,59.607600,30.850500,2.969790,0.625000,0.583333,0.583333
20030502.000000,-0.725407,2.613710,12.480200,11.813300,1.870600,1.000000,1.000000,1.000000
