TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030101.000000,-0.540341,2.031480,1.496240,19.134900,0.780508,0.812500,1.000000,1.000000
20030102.000000,0.247923,1.606190,-4.502920,0.281962,1.015550,0.645833,1.000000,1.000000
20030103.000000,-0.237191,2.506720,-4.346390,14.310900,1.244880,0.937500,1.000000,1.000000
20030104.000000,-0.112891,2.467990,-5.328140,14.271600,1.202590,0.937500,1.000000,1.000000
20030105.000000,-0.677995,2.648980,-43.276300,32.898200,1.218600,0.916667,1.000000,1.000000
20030106.000000,-0.443220,2.669750,-41.790300,29.787300,1.288250,1.000000,1.000000,1.000000
20030107.000000,-0.795671,3.178150,-6.191960,19.397200,1.447010,0.979167,1.000000,1.000000
20030108.000000,0.005240,2.263480,-14.655200,14.577700,1.370210,1.000000,1.000000,1.000000
20030109.000000,0.660515,1.382490,-9.533660,3.635980,1.073150,0.812500,1.000000,1.000000
20030110.000000,1.413960,0.669792,-25.085600,3.399110,1.051540,1.000000,1.000000,1.000000
20030111.000000,0.570606,1.502300,-19.351500,7.463750,1.149600,1.000000,1.000000,1.000000
20030112.000000,-0.593124,2.690970,-8.651330,11.460400,1.323710,0.979167,1.000000,1.000000
20030113.000000,-1.013660,3.127340,13.278800,16.699300,1.299380,0.958333,1.000000,1.000000
20030114.000000,-0.752484,2.331950,0.371271,9.038020,1.091420,0.958333,1.000000,1.000000
20030115.000000,-1.309570,2.789940,6.778730,25.937800,1.169280,0.979167,1.000000,1.000000
20030116.000000,-0.774004,3.075890,-6.800470,30.835800,1.518570,0.708333,1.000000,1.000000
20030117.000000,-0.673326,3.109630,-19.151000,37.344100,1.696870,0.958333,1.000000,1.000000
20030118.000000,-0.999901,3.070510,12.372000,30.884100,1.534780,0.541667,1.000000,1.000000
20030119.000000,-0.951396,2.896340,18.043900,27.638200,1.477490,0.958333,1.000000,1.000000
20030120.000000,-0.993394,2.861600,19.250000,25.490700,1.525250,0.875000,1.000000,1.000000
20030121.000000,1.126130,0.650129,-20.391900,6.323860,1.428620,0.958333,1.000000,1.000000
20030122.000000,0.086274,1.908360,-20.042800,17.858800,1.761630,0.958333,1.000000,1.000000
20030123.000000,0.935596,1.102870,-7.964010,6.140370,1.829570,0.958333,1.000000,1.000000
20030124.000000,-0.426303,2.328880,-3.238420,14.803100,1.829500,0.729167,1.000000,1.000000
20030125.000000,-1.076330,3.290140,23.511200,33.348400,2.059160,0.958333,1.000000,1.000000
20030126.000000,-0.403463,2.529510,-2.716900,22.259000,2.088330,1.000000,1.000000,1.000000
20030127.000000,0.672137,1.209100,-11.956200,8.355540,1.830820,1.000000,1.000000,1.000000
20030128.000000,-1.183650,3.524750,22.968700,30.856600,1.574830,0.750000,1.000000,1.000000
20030129.000000,-0.997063,3.328270,24.480600,37.030600,1.639790,0.833333,1.000000,1.000000
20030130.000000,-1.032870,3.200780,-0.900896,31.620800,1.875960,0.479167,1.000000,1.000000
20030131.000000,-1.737190,4.242150,3.949560,38.586800,2.090880,0.854167,1.000000,1.000000
20030201.000000,0.790850,1.293470,-16.568600,2.859900,1.388930,0.833333,1.000000,1.000000
20030202.000000,-0.278444,2.519070,-4.419990,36.934400,1.234490,0.979167,1.000000,1.000000
20030203.000000,-1.079290,3.595720,29.504500,33.045700,1.464330,1.000000,1.000000,1.000000
20030204.000000,-1.107330,3.316740,12.486800,35.113700,1.589760,1.000000,1.000000,1.000000
20030205.000000,-0.519640,2.802270,30.915600,25.508200,1.681500,0.979167,1.000000,1.000000
20030206.000000,-0.155225,2.206270,33.008900,18.607900,1.793400,1.000000,1.000000,1.000000
20030207.000000,-0.463827,2.569200,23.951100,21.312500,1.923890,1.000000,1.000000,1.000000
20030208.000000,-0.367742,2.349640,60.069600,18.151400,1.944360,0.979167,1.000000,1.000000
20030209.000000,-0.607334,2.550290,61.142600,20.152200,2.215710,0.916667,1.000000,1.000000
20030210.000000,-0.570060,2.990660,42.543500,22.145000,2.638590,0.958333,1.000000,1.000000
20030211.000000,0.312064,2.194870,5.077040,14.265000,2.625830,1.000000,1.000000,1.000000
20030212.000000,1.069620,1.621820,-15.817900,6.700040,2.754420,1.000000,1.000000,1.000000
20030213.000000,1.053770,1.492350,-17.902200,6.461440,2.538640,0.979167,1.000000,1.000000
20030214.000000,-0.642035,3.114280,52.821400,24.894000,2.541720,0.833333,0.916667,0.916667
20030215.000000,0.032351,2.392290,17.533700,15.068900,2.594560,0.208333,1.000000,1.000000
20030216.000000,-0.564872,2.593000,31.843200,22.634200,1.986870,0.208333,1.000000,1.000000
20030217.000000,-0.654228,2.898870,29.301600,28.192800,2.006170,0.145833,1.000000,1.000000
20030218.000000,-1.377920,3.746400,58.976900,38.623100,2.160850,0.270833,1.000000,1.000000
20030219.000000,0.557928,1.595780,-2.047900,3.752420,1.786540,0.000000,1.000000,1.000000
20030220.000000,-1.673000,4.215040,61.366800,40.835800,2.456890,0.291667,1.000000,1.000000
20030221.000000,-1.402360,4.246300,66.977500,41.527100,2.738270,0.270833,1.000000,1.000000
20030222.000000,-1.389440,4.051870,51.142000,39.709200,2.713140,0.333333,1.000000,1.000000
20030223.000000,-1.407100,3.955470,54.815600,36.755100,2.662770,0.916667,1.000000,1.000000
20030224.000000,-0.455930,1.825550,8.981690,7.611390,2.339640,0.833333,1.000000,1.000000
20030225.000000,-1.309850,3.985770,11.297800,12.140000,2.513520,0.291667,0.520833,0.520833
20030226.000000,-0.912307,3.268360,22.327900,18.478400,2.269770,0.000000,0.000000,0.000000
20030227.000000,-1.013620,3.349250,47.836400,36.987900,2.309320,0.250000,0.250000,0.250000
20030228.000000,-1.057070,3.028850,47.387800,36.251400,1.958920,0.937500,1.000000,1.000000
20030301.000000,-0.848791,3.257420,47.974800,36.990000,2.344620,0.937500,1.000000,1.000000
20030302.000000,-1.001970,3.396090,70.031600,34.611900,2.209010,0.937500,1.000000,1.000000
20030303.000000,-0.343156,2.455420,36.960500,11.600400,1.623880,0.750000,1.000000,1.000000
20030304.000000,-0.164345,2.259350,36.772500,13.694400,1.552450,0.812500,1.000000,1.000000
20030305.000000,-1.210900,3.864880,80.362100,32.909300,1.858870,0.875000,1.000000,1.000000
20030306.000000,-1.349070,3.818480,80.420700,32.826500,2.021360,0.979167,1.000000,1.000000
20030307.000000,-0.852399,3.347790,77.754800,35.041000,2.078360,1.000000,1.000000,1.000000
20030308.000000,-0.729311,3.513100,77.079600,33.152900,2.267430,1.000000,1.000000,1.000000
20030309.000000,-0.939586,3.872420,54.785400,37.540200,2.419540,1.000000,1.000000,1.000000
20030310.000000,-0.439818,3.246670,30.972100,28.837800,2.270940,1.000000,1.000000,1.000000
20030311.000000,-1.477450,4.454060,66.000900,40.972100,2.389500,1.000000,1.000000,1.000000
20030312.000000,-1.365790,4.409130,67.609300,40.512300,2.588840,1.000000,1.000000,1.000000
20030313.000000,0.371248,2.592670,11.527000,15.760300,2.784320,1.000000,1.000000,1.000000
20030314.000000,-0.014957,2.844650,3.224890,31.796600,2.659130,1.000000,1.000000,1.000000
20030315.000000,-0.169893,2.732380,14.314600,13.154700,2.236570,1.000000,1.000000,1.000000
20030316.000000,-0.414085,3.394040,36.225700,17.946600,1.925120,1.000000,1.000000,1.000000
20030317.000000,-0.723738,3.084770,31.153300,21.199400,1.890610,1.000000,1.000000,1.000000
20030318.000000,-1.384620,4.000720,41.452600,44.542500,2.326000,1.000000,1.000000,1.000000
20030319.000000,-2.268320,4.859220,40.045700,46.805400,2.504290,1.000000,1.000000,1.000000
20030320.000000,-1.307020,3.941800,58.859000,41.785400,2.202130,0.979167,1.000000,1.000000
20030321.000000,-1.701720,4.403190,67.719800,49.615200,2.677650,1.000000,1.000000,1.000000
20030322.000000,-1.253460,4.273430,53.597800,24.756800,2.872960,1.000000,1.000000,1.000000
20030323.000000,0.847947,1.960790,1.459850,10.132100,2.467610,1.000000,1.000000,1.000000
20030324.000000,-2.019900,5.031720,82.273100,61.941200,2.675140,1.000000,1.000000,1.000000
20030325.000000,-1.838760,5.173150,55.679800,67.768600,2.997680,1.000000,1.000000,1.000000
20030326.000000,0.433368,2.441290,17.452700,9.986670,2.326320,1.000000,1.000000,1.000000
20030327.000000,-1.408260,4.131200,51.823500,56.625300,1.888170,0.854167,1.000000,1.000000
20030328.000000,-1.063940,4.157080,66.681100,58.415000,1.860390,0.458333,0.458333,0.458333
20030329.000000,-1.710260,4.968390,68.358700,62.194400,1.879050,0.979167,1.000000,1.000000
20030330.000000,-1.735660,5.272870,64.950600,64.468200,1.770890,1.000000,1.000000,1.000000
20030331.000000,-1.467830,4.345360,55.784200,54.242800,1.333080,0.958333,0.979167,0.979167
20030401.000000,-0.034588,2.444930,2.832120,17.572400,1.410740,0.645833,0.687500,0.687500
20030402.000000,-1.236880,3.370580,27.259200,37.411500,1.758850,0.000000,0.000000,0.000000
20030403.000000,-0.827236,3.200290,35.270900,42.691800,2.177720,0.520833,0.708333,0.708333
20030404.000000,-0.019470,1.866850,1.767160,13.916300,1.883120,0.583333,1.000000,1.000000
20030405.000000,-2.069240,4.416910,41.141400,35.052400,2.479680,0.541667,0.645833,0.645833
20030406.000000,-1.424590,4.374940,12.062200,35.895700,2.886180,0.020833,0.020833,0.020833
20030407.000000,-1.437840,4.856770,16.678700,40.623500,3.479150,0.000000,0.000000,0.000000
20030408.000000,-2.123840,5.712770,30.153800,34.407300,4.007470,0.000000,0.000000,0.000000
20030409.000000,-2.151570,5.657120,26.525100,28.757300,3.985080,0.041667,0.041667,0.041667
20030410.000000,-1.470720,4.588790,25.343900,35.171800,3.233250,0.270833,0.770833,0.729167
20030411.000000,-0.577360,3.581140,12.025700,26.143900,3.190620,0.000000,0.895833,0.687500
20030412.000000,1.396530,0.965547,-16.822300,2.490050,2.441110,0.000000,1.000000,1.000000
20030413.000000,0.522200,1.852990,-11.367900,6.860510,2.181120,0.145833,1.000000,1.000000
20030414.000000,-2.123660,4.381530,52.638000,37.442500,2.175780,0.729167,1.000000,1.000000
20030415.000000,-2.042030,4.540310,54.607700,35.741200,2.224850,0.937500,1.000000,1.000000
20030416.000000,-1.350020,3.961280,21.659800,15.625700,2.394510,0.937500,1.000000,1.000000
20030417.000000,-0.646185,3.671280,21.145000,18.041800,2.255200,0.979167,1.000000,1.000000
20030418.000000,-1.775210,5.157190,65.938000,41.542200,2.356710,0.875000,1.000000,1.000000
20030419.000000,-2.553220,5.938480,92.138800,58.920300,2.790350,0.979167,0.979167,1.000000
20030420.000000,-2.736860,6.576320,46.968100,34.814800,2.842300,0.916667,1.000000,1.000000
20030421.000000,-0.251606,2.983970,9.031160,6.642180,1.848070,1.000000,1.000000,1.000000
20030422.000000,-0.621367,3.351780,26.130100,8.454190,1.891790,0.979167,1.000000,1.000000
20030423.000000,-2.206280,4.906680,80.189700,31.325100,2.330600,1.000000,1.000000,1.000000
20030424.000000,1.037350,1.107950,-14.793000,4.621970,1.960860,1.000000,1.000000,1.000000
20030425.000000,0.096285,1.746050,-12.019600,2.564780,1.816630,1.000000,1.000000,1.000000
20030426.000000,-2.233150,4.278220,63.978800,37.592700,2.004660,1.000000,1.000000,1.000000
20030427.000000,-2.249260,4.390960,79.848800,39.524700,2.329180,1.000000,1.000000,1.000000
20030428.000000,-1.574530,3.479750,30.755000,32.179200,1.821930,1.000000,1.000000,1.000000
20030429.000000,-0.832820,2.715450,38.071400,22.338500,1.758770,1.000000,1.000000,1.000000
20030430.000000,-1.956870,4.047790,52.231600,35.421000,2.022190,1.000000,1.000000,1.000000
20030501.000000,-2.279780,4.638820,65.214900,49.925300,2.464140,1.000000,1.000000,1.000000
20030502.000000,0.612102,1.518680,0.386150,11.289100,2.258640,1.000000,1.000000,1.000000
20030503.000000,-0.338495,2.552290,20.599000,19.139500,2.185070,1.000000,1.000000,1.000000
20030504.000000,-1.228270,3.335030,47.308100,29.079100,2.267470,0.958333,1.000000,1.000000
20030505.000000,-2.619930,5.110510,94.605400,48.278800,2.983900,0.854167,1.000000,1.000000
20030506.000000,-2.467570,5.102530,98.607100,48.633700,3.392520,0.895833,1.000000,1.000000
20030507.000000,-0.779646,3.354970,36.558700,22.821900,3.117540,1.000000,1.000000,1.000000
20030508.000000,0.658368,1.399220,8.343680,8.991450,1.928490,1.000000,1.000000,1.000000
20030509.000000,-1.873360,4.358570,50.652200,37.771300,1.981890,0.854167,1.000000,1.000000
20030510.000000,-2.971130,6.082420,72.021400,28.828800,2.221810,0.916667,1.000000,1.000000
20030511.000000,-1.922430,5.557290,97.237400,66.925900,2.233120,0.895833,1.000000,1.000000
20030512.000000,-0.819116,5.110030,110.200000,72.443300,2.249920,0.979167,1.000000,1.000000
20030513.000000,-0.233084,5.105910,100.501000,74.660000,1.910670,0.979167,1.000000,1.000000
20030514.000000,-0.670483,5.748760,86.218200,66.370000,1.818770,1.000000,1.000000,1.000000
20030515.000000,-1.176100,5.777070,122.581000,67.219200,2.054350,0.833333,1.000000,1.000000
20030516.000000,-1.886700,6.821040,84.468700,72.094500,2.709210,0.666667,1.000000,1.000000
20030517.000000,-0.942694,5.755110,101.679000,75.761000,3.141950,0.854167,1.000000,1.000000
20030518.000000,-1.217530,6.358030,108.287000,75.276600,3.136540,0.687500,1.000000,1.000000
20030519.000000,-0.787539,6.551520,80.511000,82.866000,3.421790,1.000000,1.000000,1.000000
20030520.000000,-1.041450,7.163370,93.521500,83.575600,3.623070,1.000000,1.000000,1.000000
20030521.000000,-0.205259,6.502850,83.242900,91.794600,3.845780,0.958333,1.000000,1.000000
20030522.000000,-0.826748,7.407600,79.818900,92.681600,3.991320,0.958333,1.000000,1.000000
20030523.000000,-0.038368,6.626190,67.428900,98.994200,4.093460,0.916667,1.000000,1.000000
20030524.000000,-0.702861,6.892770,91.036900,86.929500,3.583650,0.937500,1.000000,1.000000
20030525.000000,-2.018320,7.580920,70.047500,68.498400,2.978520,0.979167,1.000000,1.000000
20030526.000000,-1.578130,6.897310,100.099000,87.450100,3.094340,0.666667,1.000000,1.000000
20030527.000000,-0.988745,6.782580,74.456100,98.980800,3.903290,0.541667,1.000000,1.000000
20030528.000000,-0.610332,6.093110,59.214500,98.419500,4.052890,0.520833,1.000000,1.000000
20030529.000000,0.025458,5.252230,47.501800,87.393800,3.652550,0.541667,1.000000,1.000000
20030530.000000,-0.807178,6.223920,84.803300,106.450000,3.391970,0.520833,1.000000,1.000000
20030531.000000,-0.974475,6.741200,95.888800,102.727000,3.525950,0.520833,1.000000,1.000000
20030601.000000,-0.157399,6.458900,62.867100,109.497000,3.931940,0.520833,1.000000,1.000000
20030602.000000,-0.103760,6.609480,65.388600,122.975000,4.400510,0.458333,1.000000,1.000000
20030603.000000,-0.079822,6.657200,59.662400,115.250000,5.291840,0.479167,1.000000,1.000000
20030604.000000,0.838489,6.294100,53.326600,130.869000,5.779710,0.500000,1.000000,1.000000
20030605.000000,-0.320659,7.353660,58.085800,125.159000,5.510410,0.604167,1.000000,1.000000
20030606.000000,-0.582955,7.554750,83.801800,106.837000,5.182820,0.479167,1.000000,1.000000
20030607.000000,-1.194410,8.101940,85.230900,104.397000,5.117130,0.437500,1.000000,1.000000
20030608.000000,-1.487990,8.254220,87.876900,109.998000,5.129960,0.458333,1.000000,1.000000
20030609.000000,-1.185280,8.086740,85.761900,102.151000,4.961420,0.437500,1.000000,1.000000
20030610.000000,-1.770260,8.358490,103.325000,86.259500,4.433270,0.458333,1.000000,1.000000
20030611.000000,-1.160650,7.366250,102.854000,101.147000,4.165300,0.458333,1.000000,1.000000
20030612.000000,-2.189620,8.270110,121.990000,79.859400,4.118650,0.437500,1.000000,1.000000
20030613.000000,-2.119460,8.766360,93.271600,90.604800,4.330230,0.479167,1.000000,1.000000
20030614.000000,-1.991140,9.312960,79.768300,98.295400,4.622070,0.500000,1.000000,1.000000
20030615.000000,-1.002020,8.802490,71.101900,107.680000,5.064900,0.500000,1.000000,1.000000
20030616.000000,-1.070830,9.675190,72.662800,111.810000,5.595080,0.666667,1.000000,1.000000
20030617.000000,-1.095730,8.954090,70.272600,111.656000,5.786760,0.895833,1.000000,1.000000
20030618.000000,-1.614180,9.993660,44.576900,94.845900,5.287810,0.979167,1.000000,1.000000
20030619.000000,-1.965050,8.824640,87.914500,94.441500,4.616570,0.979167,1.000000,1.000000
20030620.000000,-2.443300,9.002790,111.695000,82.331500,4.380310,1.000000,1.000000,1.000000
20030621.000000,-2.159960,8.724250,102.212000,85.228300,4.300630,0.958333,1.000000,1.000000
20030622.000000,-1.847270,8.562990,94.163100,84.839900,4.453310,0.958333,1.000000,1.000000
20030623.000000,-1.313830,8.158740,63.005800,75.911100,4.206790,1.000000,1.000000,1.000000
20030624.000000,-1.399510,8.237000,61.580500,98.882200,4.328880,0.979167,1.000000,1.000000
20030625.000000,-0.774295,9.640180,51.657900,114.034000,3.839460,0.958333,1.000000,1.000000
20030626.000000,-0.089587,8.184810,35.048700,106.799000,3.419930,0.958333,1.000000,1.000000
20030627.000000,-0.215189,8.851130,45.379600,122.861000,2.878280,0.937500,1.000000,1.000000
