TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030101.000000,1.641900,0.311505,-33.408500,89.361000,1.638360,0.729167,-9999.000000,-9999.000000
20030102.000000,3.963100,-2.789330,10.850300,32.986300,1.051470,0.416667,-9999.000000,-9999.000000
20030103.000000,0.308815,0.680666,17.120600,40.778800,0.904765,0.833333,-9999.000000,-9999.000000
20030104.000000,-1.415320,1.948770,17.746000,16.979300,0.525173,0.750000,-9999.000000,-9999.000000
20030105.000000,-0.983450,1.514130,15.629300,12.344000,0.513108,0.312500,-9999.000000,-9999.000000
20030106.000000,-1.271860,1.792940,-5.262730,17.875900,0.497432,0.604167,-9999.000000,-9999.000000
20030107.000000,-0.871382,1.135650,7.328310,11.096100,0.264614,1.000000,-9999.000000,-9999.000000
20030108.000000,-1.674890,2.058120,-24.202600,21.877800,0.343270,1.000000,-9999.000000,-9999.000000
20030109.000000,-1.336250,1.728840,-19.220300,25.680400,0.340884,1.000000,-9999.000000,-9999.000000
20030110.000000,-1.375410,1.604580,17.072700,19.834900,0.212932,0.833333,-9999.000000,-9999.000000
20030111.000000,-0.955799,1.060080,25.481800,8.422380,0.106213,0.645833,-9999.000000,-9999.000000
20030112.000000,-0.368098,0.433483,30.974400,5.492440,0.069283,0.687500,-9999.000000,-9999.000000
20030113.000000,-1.169910,1.239360,4.922740,5.099330,0.070194,0.875000,-9999.000000,-9999.000000
20030114.000000,-2.170310,2.229060,18.166600,11.178800,0.059001,0.437500,-9999.000000,-9999.000000
20030115.000000,-0.919542,0.942789,23.657200,8.045800,0.024870,0.791667,-9999.000000,-9999.000000
20030116.000000,-1.022540,1.026450,25.333200,3.150540,0.005021,0.583333,-9999.000000,-9999.000000
20030117.000000,-0.476927,0.476927,15.802100,18.095600,0.001490,0.979167,-9999.000000,-9999.000000
20030118.000000,-0.675009,0.675010,50.420800,4.956820,0.002205,0.625000,-9999.000000,-9999.000000
20030119.000000,-0.617617,0.617618,14.263100,5.154190,0.005495,0.791667,-9999.000000,-9999.000000
20030120.000000,-1.406910,1.406910,0.719396,11.012200,0.017781,0.708333,-9999.000000,-9999.000000
20030121.000000,-1.060460,1.060460,-0.407521,-3.260770,0.006783,0.500000,-9999.000000,-9999.000000
20030122.000000,0.591947,-0.591947,34.456600,7.226710,0.002950,0.604167,-9999.000000,-9999.000000
20030123.000000,1.222930,-1.222920,29.678500,15.365000,0.000285,1.000000,-9999.000000,-9999.000000
20030124.000000,-0.481487,0.481487,27.322600,3.197720,0.000000,0.770833,-9999.000000,-9999.000000
20030125.000000,-1.093040,1.093040,49.065800,4.609200,0.000000,0.312500,-9999.000000,-9999.000000
20030126.000000,-3.107310,3.107310,21.053200,79.418600,0.000000,0.458333,-9999.000000,-9999.000000
20030127.000000,-4.992190,4.992200,45.776500,129.306000,0.000000,0.500000,-9999.000000,-9999.000000
20030128.000000,-4.091090,4.091090,37.144000,71.930000,0.000000,0.479167,-9999.000000,-9999.000000
20030129.000000,1.806640,-1.759870,-31.367000,111.080000,0.085812,0.604167,-9999.000000,-9999.000000
20030130.000000,-2.445220,2.581490,-26.838200,101.292000,0.173874,0.416667,-9999.000000,-9999.000000
20030131.000000,-3.855160,4.102150,-7.576500,27.753700,0.287011,0.020833,-9999.000000,-9999.000000
20030201.000000,-3.127640,3.685960,14.913100,16.676200,0.590359,0.875000,-9999.000000,-9999.000000
20030202.000000,-1.532540,2.385710,1.101570,13.499000,0.892039,0.250000,-9999.000000,-9999.000000
20030203.000000,1.578610,0.270740,4.987100,31.803500,1.811940,0.583333,-9999.000000,-9999.000000
20030204.000000,1.631340,0.512153,-9.329250,38.458100,2.077620,0.291667,-9999.000000,-9999.000000
20030205.000000,1.056640,0.025718,-4.182890,34.478100,1.134730,0.020833,-9999.000000,-9999.000000
20030206.000000,1.549510,-0.692250,-0.739741,32.777800,0.924447,0.000000,-9999.000000,-9999.000000
20030207.000000,0.174632,0.940250,2.097600,26.388200,1.164760,0.000000,-9999.000000,-9999.000000
20030208.000000,0.601629,0.321550,8.828130,21.598700,0.983476,0.000000,-9999.000000,-9999.000000
20030209.000000,1.736870,-0.428968,-7.726270,29.866800,1.324520,0.000000,-9999.000000,-9999.000000
20030210.000000,1.699870,-0.083949,-13.986700,29.365700,1.613640,0.000000,-9999.000000,-9999.000000
20030211.000000,1.858100,0.276181,-17.405600,23.808200,2.041250,0.000000,-9999.000000,-9999.000000
20030212.000000,1.205630,1.442530,-18.707600,24.751100,2.476440,0.000000,-9999.000000,-9999.000000
20030213.000000,1.118010,1.280230,-18.707600,25.044400,2.267810,0.000000,-9999.000000,-9999.000000
20030214.000000,0.752648,1.727620,-18.471800,24.486000,2.362490,0.395833,-9999.000000,-9999.000000
20030215.000000,1.245270,1.498930,-14.096800,48.686600,2.565040,0.708333,-9999.000000,-9999.000000
20030216.000000,2.360010,-1.664410,-12.441900,45.876700,0.759750,0.062500,-9999.000000,-9999.000000
20030217.000000,-0.440834,0.942075,20.516900,31.470800,0.570215,0.000000,-9999.000000,-9999.000000
20030218.000000,-2.168980,2.994780,31.124500,23.705300,0.865509,0.291667,-9999.000000,-9999.000000
20030219.000000,-0.569449,1.491800,41.786900,14.488200,0.934198,0.375000,-9999.000000,-9999.000000
20030220.000000,-2.907910,4.046900,15.310900,28.269500,1.112540,0.583333,-9999.000000,-9999.000000
