TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030101.000000,1.802160,-1.641860,-26.286400,14.893500,0.000000,0.000000,1.000000,1.000000
20030102.000000,1.510890,-1.476900,-22.893400,15.503800,0.000000,0.000000,1.000000,1.000000
20030103.000000,1.575300,-1.461400,-25.963200,15.158100,0.000000,0.000000,1.000000,1.000000
20030104.000000,1.523710,-1.494560,-21.581700,14.682500,0.000000,0.000000,1.000000,1.000000
20030105.000000,1.382750,-1.353860,-21.475100,14.737600,0.000000,0.000000,1.000000,1.000000
20030106.000000,1.491680,-1.448240,-26.578100,12.340100,0.000000,0.000000,1.000000,1.000000
20030107.000000,0.961874,-0.936446,-27.331500,13.569700,0.000000,0.000000,0.895833,0.875000
20030108.000000,-0.104976,0.110394,4.851650,14.153600,0.000000,0.000000,0.770833,0.770833
20030109.000000,0.790370,-0.788770,-15.715400,4.150880,0.000000,0.000000,1.000000,1.000000
20030110.000000,0.708507,-0.707399,-13.089500,4.634650,0.000000,0.000000,1.000000,1.000000
20030111.000000,0.616087,-0.550860,-12.579500,5.385390,0.000000,0.000000,1.000000,1.000000
20030112.000000,1.058660,-0.813335,-32.979200,9.470800,0.000000,0.000000,1.000000,1.000000
20030113.000000,0.310771,-0.310770,-23.323100,5.161290,0.000001,0.000000,1.000000,1.000000
20030114.000000,-0.891672,0.891672,-16.458000,9.316540,0.000000,0.000000,1.000000,1.000000
20030115.000000,-0.764474,0.787925,6.306550,9.292820,0.000000,0.000000,1.000000,1.000000
20030116.000000,-0.654619,0.675423,1.399000,7.623320,0.000000,0.000000,1.000000,1.000000
20030117.000000,-0.579714,0.579714,-11.620300,8.100790,0.000000,0.000000,1.000000,1.000000
20030118.000000,-1.112670,1.112670,0.883580,12.270100,0.000000,0.000000,1.000000,1.000000
20030119.000000,-0.498305,0.477213,3.975610,14.900900,0.000001,0.000000,1.000000,1.000000
20030120.000000,-0.651077,0.651077,-0.223821,10.578100,0.000001,0.041667,1.000000,1.000000
20030121.000000,-0.635399,0.635400,3.819410,9.005130,0.000001,0.145833,1.000000,1.000000
20030122.000000,-0.043765,0.043767,-17.385200,21.156300,0.000001,0.104167,1.000000,1.000000
20030123.000000,-0.657771,0.657773,0.011872,31.716700,0.000001,0.250000,1.000000,1.000000
20030124.000000,-0.105008,0.105008,-8.403510,19.673100,0.000001,0.145833,1.000000,1.000000
20030125.000000,-0.233314,0.233315,-1.358520,21.181400,0.000001,0.229167,1.000000,1.000000
20030126.000000,-0.018732,0.013286,-28.186200,27.924600,0.000001,0.208333,1.000000,1.000000
20030127.000000,-1.210620,1.210620,-7.164420,21.551700,0.000000,0.291667,1.000000,1.000000
20030128.000000,-1.300990,1.301620,6.410080,12.172000,0.000000,0.312500,1.000000,1.000000
20030129.000000,0.020862,-0.020861,-22.745900,29.641900,0.000001,0.291667,1.000000,1.000000
20030130.000000,0.719838,-0.719837,-40.640200,18.784300,0.000001,0.250000,1.000000,0.958333
20030131.000000,-0.618011,0.618012,-21.499000,33.946000,0.000001,0.312500,1.000000,0.979167
20030201.000000,-1.418850,1.421980,6.285870,20.705500,0.000000,0.354167,1.000000,1.000000
20030202.000000,-1.547060,1.548940,20.687700,16.436500,0.000000,0.354167,1.000000,1.000000
20030203.000000,-1.588450,1.588450,4.340020,16.147800,0.000000,0.895833,1.000000,1.000000
20030204.000000,-1.858480,1.858480,26.421200,9.235420,0.000000,0.791667,1.000000,1.000000
20030205.000000,-1.742200,1.742200,37.049700,10.547800,0.000000,0.791667,1.000000,1.000000
20030206.000000,-1.748270,1.751460,13.217500,7.174900,0.000000,0.583333,1.000000,1.000000
20030207.000000,-1.769330,1.772730,30.476300,8.906290,0.000000,0.562500,1.000000,1.000000
