TIMESTAMP,NEE_VUT_REF,GPP_NT_VUT_REF,H_F_MDS,LE_F_MDS,RECO_NT_VUT_REF,NEE_VUT_REF_QC,H_F_MDS_QC,LE_F_MDS_QC
20030101.000000,0.342644,-0.007341,-5.450620,13.716300,0.318665,1.000000,1.000000,1.000000
20030102.000000,0.391062,-0.006260,57.285800,22.352700,0.365966,1.000000,1.000000,1.000000
20030103.000000,0.458844,-0.021468,46.661700,4.289230,0.416230,1.000000,1.000000,1.000000
20030104.000000,0.358690,0.074300,42.302200,14.724500,0.410425,1.000000,1.000000,1.000000
20030105.000000,0.429522,-0.008886,15.122400,7.028380,0.394140,1.000000,1.000000,1.000000
20030106.000000,0.421362,0.020567,-12.874700,46.229500,0.409515,1.000000,1.000000,1.000000
20030107.000000,0.640343,-0.039184,-15.850400,1.151040,0.530889,1.000000,1.000000,1.000000
20030108.000000,0.589082,-0.015697,-17.405600,-1.310000,0.529733,1.000000,1.000000,1.000000
20030109.000000,0.359426,0.021794,40.420400,2.296850,0.356883,0.833333,1.000000,1.000000
20030110.000000,0.470536,-0.027223,-47.522200,38.001200,0.421736,1.000000,1.000000,1.000000
20030111.000000,0.341374,0.105823,15.801100,15.497200,0.424700,1.000000,1.000000,1.000000
20030112.000000,0.390163,0.075201,29.603500,17.468000,0.457980,1.000000,1.000000,1.000000
20030113.000000,0.523976,-0.003950,70.223700,19.138000,0.517785,1.000000,1.000000,1.000000
20030114.000000,0.395842,0.158113,18.440600,16.380900,0.555257,1.000000,1.000000,1.000000
20030115.000000,0.495891,-0.058001,-22.475800,56.742600,0.440095,1.000000,1.000000,1.000000
20030116.000000,0.238720,0.096730,1.783120,45.913600,0.336480,1.000000,1.000000,1.000000
20030117.000000,0.291972,0.054788,0.696042,39.036700,0.347680,1.000000,1.000000,1.000000
20030118.000000,0.308709,0.059755,71.308100,46.489400,0.369321,0.979167,1.000000,1.000000
20030119.000000,0.480876,-0.030971,28.690400,90.425000,0.452303,0.979167,1.000000,1.000000
20030120.000000,0.485155,-0.043037,30.581500,36.685100,0.445834,0.937500,1.000000,1.000000
20030121.000000,0.293675,0.090618,12.905500,23.772900,0.384551,1.000000,1.000000,1.000000
20030122.000000,0.372197,0.010387,46.341700,44.847300,0.383297,1.000000,1.000000,1.000000
20030123.000000,0.493416,-0.061119,57.175000,61.486800,0.433910,1.000000,1.000000,1.000000
20030124.000000,0.414678,0.007477,-12.044200,18.382000,0.434310,1.000000,1.000000,1.000000
20030125.000000,0.211980,0.219913,11.169000,34.131500,0.432754,1.000000,1.000000,1.000000
20030126.000000,0.461511,0.043059,69.786000,60.942200,0.504618,1.000000,1.000000,1.000000
20030127.000000,0.667300,-0.031915,42.296200,60.953900,0.634333,1.000000,1.000000,1.000000
20030128.000000,0.581458,0.035437,10.045600,38.238400,0.614623,1.000000,1.000000,1.000000
20030129.000000,0.371537,0.264655,62.000200,29.879800,0.609160,1.000000,1.000000,1.000000
20030130.000000,0.735185,-0.021140,39.277500,55.583300,0.703331,1.000000,1.000000,1.000000
20030131.000000,0.488998,0.262366,41.615000,61.710400,0.738346,1.000000,1.000000,1.000000
20030201.000000,0.918080,-0.124561,58.772700,44.242400,0.784768,1.000000,0.958333,1.000000
20030202.000000,0.455125,0.135996,-7.264370,8.777460,0.587462,0.833333,0.916667,1.000000
20030203.000000,0.192155,0.194163,13.946700,49.878500,0.386067,0.937500,0.937500,0.937500
20030204.000000,0.253673,0.092985,-30.681000,35.323500,0.349015,1.000000,1.000000,1.000000
20030205.000000,0.186862,0.097668,8.122030,30.443600,0.288776,1.000000,1.000000,1.000000
20030206.000000,0.272713,-0.098346,40.999100,9.848270,0.178315,1.000000,1.000000,1.000000
20030207.000000,0.159673,0.095859,-23.478800,52.071900,0.264957,1.000000,1.000000,1.000000
20030208.000000,0.138778,0.105008,32.302400,26.908700,0.254459,1.000000,1.000000,1.000000
20030209.000000,0.283936,-0.121605,9.778440,36.317700,0.170437,1.000000,1.000000,1.000000
20030210.000000,0.246771,-0.000486,13.915900,38.386900,0.251719,1.000000,1.000000,1.000000
20030211.000000,0.133992,0.213296,59.460800,34.611000,0.349566,1.000000,1.000000,1.000000
20030212.000000,0.297194,0.146178,35.993400,16.258300,0.443998,0.937500,1.000000,1.000000
20030213.000000,0.680870,-0.180608,16.813900,10.158500,0.498722,0.729167,1.000000,1.000000
20030214.000000,0.413605,0.036579,31.352700,12.626900,0.446420,0.979167,1.000000,1.000000
20030215.000000,0.283367,0.099693,28.384800,18.666100,0.377726,0.895833,1.000000,1.000000
20030216.000000,0.142036,0.334536,14.730700,24.022800,0.468359,1.000000,1.000000,1.000000
20030217.000000,0.307695,0.086878,44.938100,50.703400,0.385745,1.000000,1.000000,1.000000
20030218.000000,0.403901,-0.034606,28.002700,11.607300,0.364168,1.000000,1.000000,1.000000
20030219.000000,0.200401,0.114388,88.769100,15.800800,0.314861,0.937500,1.000000,0.958333
20030220.000000,0.294353,-0.000617,49.356000,2.965670,0.300838,1.000000,1.000000,1.000000
20030221.000000,0.284361,-0.052081,12.182700,46.952100,0.243523,1.000000,1.000000,1.000000
20030222.000000,0.305902,-0.102651,-6.149380,75.310200,0.218328,1.000000,1.000000,1.000000
20030223.000000,0.101492,0.049049,20.214800,54.907600,0.164586,1.000000,1.000000,1.000000
20030224.000000,0.242963,-0.069628,55.921600,46.118400,0.181670,0.937500,0.979167,1.000000
20030225.000000,0.229223,0.009175,12.164000,34.945300,0.258154,1.000000,1.000000,1.000000
20030226.000000,0.312623,-0.045753,27.265600,20.654000,0.283601,0.937500,1.000000,1.000000
20030227.000000,0.227770,0.049618,21.674900,15.963700,0.289735,0.895833,1.000000,0.895833
20030228.000000,0.313045,-0.044682,28.250200,15.268600,0.274481,1.000000,1.000000,1.000000
